Z,N,BindingEnergy
53,71,1046.743572
53,72,1056.293454
53,73,1063.438032
53,74,1072.581504
53,75,1079.407418
53,76,1088.240702
53,77,1094.740592
53,78,1103.324049
53,79,1109.652731
53,80,1117.900105
53,81,1124.042302
53,82,1131.952475
53,83,1135.729608
53,84,1140.808038
53,85,1144.681114
53,86,1149.296591
53,87,1152.598662
53,88,1157.297973
53,89,1160.3858
53,90,1164.833608
53,91,1167.744451
54,56,897.315745
54,57,908.041826
54,58,921.664854
54,59,931.869298
54,60,944.812335
54,61,954.383363
54,62,966.925858
54,63,976.096343
54,64,987.884327
54,65,996.905773
54,66,1008.144175
54,67,1016.927159
54,68,1027.640199
54,69,1035.785108
54,70,1046.255214
54,71,1053.858553
54,72,1063.913213
54,73,1071.135943
54,74,1080.743858
54,75,1087.65165
54,76,1096.90746
54,77,1103.512609
54,78,1112.447799
54,79,1118.887608
54,80,1127.435389
54,81,1133.818377
54,82,1141.877589
54,83,1145.90343
54,84,1151.714015
54,85,1155.316958
54,86,1160.730726
54,87,1164.135261
54,88,1169.365524
54,89,1172.60239
54,90,1177.56252
54,91,1180.566512
54,92,1185.256509
54,93,1188.008998
55,57,907.226809
55,58,920.691483
55,59,931.669067
55,60,944.844978
55,61,955.738728
55,62,967.787531
55,63,977.801018
55,64,989.769712
55,65,999.418054
55,66,1010.744017
55,67,1019.804586
55,68,1030.793348
55,69,1039.557701
55,70,1049.97732
55,71,1058.306666
55,72,1068.268921
55,73,1076.03285
55,74,1085.673739
55,75,1093.14611
55,76,1102.378074
55,77,1109.545846
55,78,1118.532827
55,79,1125.424876
55,80,1134.186435
55,81,1141.015143
55,82,1149.293257
55,83,1153.7066
55,84,1159.591704
55,85,1164.012499
55,86,1169.506376
55,87,1173.620709
55,88,1178.86215
55,89,1182.555448
55,90,1187.496949
55,91,1191.125042
55,92,1195.749834
55,93,1199.126424
55,94,1203.639437
55,95,1206.820413
55,96,1211.137812
56,58,922.018903
56,59,933.098952
56,60,946.787185
56,61,957.485321
56,62,970.605342
56,63,980.902935
56,64,993.631729
56,65,1003.156182
56,66,1015.167725
56,67,1024.552454
56,68,1036.128057
56,69,1044.635318
56,70,1055.851365
56,71,1064.038192
56,72,1074.727944
56,73,1082.45927
56,74,1092.732645
56,75,1100.225508
56,76,1110.043382
56,77,1117.23351
56,78,1126.701142
56,79,1133.6733
56,80,1142.781375
56,81,1149.687397
56,82,1158.298985
56,83,1163.022516
56,84,1169.450682
56,85,1173.975804
56,86,1180.145014
56,87,1184.332935
56,88,1190.240395
56,89,1194.604369
56,90,1199.704224
56,91,1204.161347
56,92,1208.795454
56,93,1212.414233
56,94,1217.542032
